time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,0.0005,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0015,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0025,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0035,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0045000000000000005,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.007000000000000001,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.011000000000000001,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0155,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0205,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.026000000000000002,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.032,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0385,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0455,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.053,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.061,0.0,0,0.0,0.0,-0.0024999973958341475,0.9999968750016276,0.0,0.0,0.0,0,0,0.0
0,0.06899990000020834,-3.999983333354168e-05,0,0.0,0.0,-0.007499929687697755,0.9999718751318357,0.0,0.0,0.0,0,0,0.0
0,0.07699900001708321,-0.00015999533338416645,0,0.0,0.0,-0.012499674481709792,0.9999218760172474,0.0,0.0,0.0,0,0,0.0
0,0.08499650014728882,-0.00035997450070186516,0,0.0,0.0,-0.017499106784510807,0.9998468789078377,0.0,0.0,0.0,0,0,0.0
0,0.09299160064747673,-0.0006399173375365547,0,0.0,0.0,-0.022498101610553625,0.9997468856785308,0.0,0.0,0.0,0,0,0.0
